AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.89,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.45,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.90,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.46,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.91,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.47,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.92,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.48,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.93,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.49,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.94,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.50,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.95,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.51,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.96,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.52,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.97,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.53,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.98,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.54,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.99,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.55,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.100,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.56,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.101,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.57,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.102,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.58,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.103,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.59,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.104,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.60,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.105,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.61,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.106,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.62,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.107,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.63,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.108,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.64,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.109,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.65,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.110,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.66,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.111,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.67,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.112,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.68,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.113,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.69,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.114,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.70,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.115,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.71,urn:cite:ptolemy:geotype.4,
