AnalyticalRecord,Passage,Analysis
urn:cite:ptolemy:ethnic_ex.63,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.56,urn:cite:ptolemy:ethnic.24
urn:cite:ptolemy:ethnic_ex.64,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.57,urn:cite:ptolemy:ethnic.65
urn:cite:ptolemy:ethnic_ex.65,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.58,urn:cite:ptolemy:ethnic.66
urn:cite:ptolemy:ethnic_ex.66,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.59,urn:cite:ptolemy:ethnic.15
urn:cite:ptolemy:ethnic_ex.67,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.60,urn:cite:ptolemy:ethnic.16
urn:cite:ptolemy:ethnic_ex.68,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.61,urn:cite:ptolemy:ethnic.17
urn:cite:ptolemy:ethnic_ex.69,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.62,urn:cite:ptolemy:ethnic.70
urn:cite:ptolemy:ethnic_ex.70,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.63,urn:cite:ptolemy:ethnic.22
urn:cite:ptolemy:ethnic_ex.71,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.64,urn:cite:ptolemy:ethnic.23
urn:cite:ptolemy:ethnic_ex.72,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.65,urn:cite:ptolemy:ethnic.18
urn:cite:ptolemy:ethnic_ex.73,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.66,urn:cite:ptolemy:ethnic.19
urn:cite:ptolemy:ethnic_ex.74,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.67,urn:cite:ptolemy:ethnic.20
urn:cite:ptolemy:ethnic_ex.75,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.68,urn:cite:ptolemy:ethnic.21
urn:cite:ptolemy:ethnic_ex.76,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.2,urn:cite:ptolemy:ethnic.77
urn:cite:ptolemy:ethnic_ex.32,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.24,urn:cite:ptolemy:ethnic.32
urn:cite:ptolemy:ethnic_ex.77,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.1,urn:cite:ptolemy:ethnic.0
