URN,Passage,Analysis
urn:cite:ptolemy:province_ex.68,urn:cts:greekLit:tlg0363.tlg009.hc01:6.10,urn:cite:ptolemy:province.62
urn:cite:ptolemy:province_ex.69,urn:cts:greekLit:tlg0363.tlg009.hc01:6.11,urn:cite:ptolemy:province.45
urn:cite:ptolemy:province_ex.70,urn:cts:greekLit:tlg0363.tlg009.hc01:6.12,urn:cite:ptolemy:province.880
urn:cite:ptolemy:province_ex.71,urn:cts:greekLit:tlg0363.tlg009.hc01:6.13,urn:cite:ptolemy:province.74
urn:cite:ptolemy:province_ex.72,urn:cts:greekLit:tlg0363.tlg009.hc01:6.14,urn:cite:ptolemy:province.76
urn:cite:ptolemy:province_ex.73,urn:cts:greekLit:tlg0363.tlg009.hc01:6.15,urn:cite:ptolemy:province.77
urn:cite:ptolemy:province_ex.74,urn:cts:greekLit:tlg0363.tlg009.hc01:6.16,urn:cite:ptolemy:province.78
urn:cite:ptolemy:province_ex.75,urn:cts:greekLit:tlg0363.tlg009.hc01:6.17,urn:cite:ptolemy:province.39
urn:cite:ptolemy:province_ex.76,urn:cts:greekLit:tlg0363.tlg009.hc01:6.18,urn:cite:ptolemy:province.70
urn:cite:ptolemy:province_ex.77,urn:cts:greekLit:tlg0363.tlg009.hc01:6.19,urn:cite:ptolemy:province.53
urn:cite:ptolemy:province_ex.78,urn:cts:greekLit:tlg0363.tlg009.hc01:6.20,urn:cite:ptolemy:province.38
urn:cite:ptolemy:province_ex.79,urn:cts:greekLit:tlg0363.tlg009.hc01:6.21,urn:cite:ptolemy:province.55
urn:cite:ptolemy:province_ex.80,urn:cts:greekLit:tlg0363.tlg009.hc01:7.1,urn:cite:ptolemy:province.58
urn:cite:ptolemy:province_ex.81,urn:cts:greekLit:tlg0363.tlg009.hc01:7.2,urn:cite:ptolemy:province.59
urn:cite:ptolemy:province_ex.82,urn:cts:greekLit:tlg0363.tlg009.hc01:7.3,urn:cite:ptolemy:province.79
urn:cite:ptolemy:province_ex.83,urn:cts:greekLit:tlg0363.tlg009.hc01:7.4,urn:cite:ptolemy:province.83
